Tanggapan,L_Layanan,L_Fasilitas
semoga lebih bisa diperbaiki lagi yang masih kurang,0,1
lebih diperbaiki lagi,0,1
lebih di perbaiki,0,0
pas esap kayak ngantri sembako,0,1
jadilah lebih baik,1,1
"sudah baik, alangkah baiknya lebih di informasikan lagi tentang fungsi apa saja yg dapat kita gunakan di layanan pusat bahasa itu",0,1
"untuk yang ESAP, kemahalan, ngapain harus jadi member setaun kalo cuma bisa daftar sekali doang, orang matkul nya aja cuma satu kali per semester. klo yang setaun ada b.inggris 2x enak g usah bayar lagi, ini kalo semester 1 ada semester 2 ga ada semestr 3 ada kan jadi harus daftar member lagi..",0,0
lbh baik lg kedepan,1,0
kurang tahu karena belum kesana,0,1
Semoga biaya di pusat bahasa lebih terjangkau,0,1
Lebih update lagi dalam pemberitaan,0,1
be better,1,1
akan lebih baik lagi apabila informasi mengenai layanan pusat bahasa lebih mudah didapatkan,0,1
Sebaiknya biaya kursus bahasa asing lebih ringan agar peminatnya dapat meningkat.,0,1
lebih baik lagi,1,1
wqw bohong semua,1,1
fasilitasnya mohon lebih diperhatikan lg,1,0
"ditingkatkan lagi, ruang pendaftaran masih kurang memadai",1,1
Diharuskan mengambil kursus Bahasa Inggris untuk mendapatkan point tanpa memandang kecerdasan sesungguhnya ? sebaiknya jangan,0,1
"sangat nyaman tempatnya, mungkin tahun depan dapat menambahkan ruang discussion room agar tidak antri atau menunggu giliran terlalu lama",0,1
tingkatkan lagi agar menjadi lebih baik,0,0
-,0,1
karetnya,1,1
semoga kedepannya bisa lebih baik lagi,0,1
Sebaiknya admin  seperti teller bank yang ramah meski sedang banyak orang,0,0
sudah lumayan bagus lah,0,1
tekankan harga LaC Membership dan paket LaC.,1,1
kurang puas karena dari berbagai fakultas dipusatkan di satu tempat sehingga terjadi pengantrian,0,1
Diusahakan dalam pembelajaran intensif untuk perbaikan EPRT & ECCT ditingkatkan lagi. Karnea sistemnya terkadang kurang membangun,0,0
-,1,1
sudah bagus tapi tingkatkan lagi mutu pelayanannya,0,1
"semoga lebih baik lagi ,dan menjadi yang terbaik dari universitas lainnya",1,1
Lebih disosialisasikan kembali kegiatan ESSAP dll,0,1
-,0,0
Kurang profesionalisme dan kurang fasilitas yang memadahi serta mentor mentor yang memadahi juga,0,1
suka tidak nyaman jika di admin esp suka antri dalam melakukan suatu transaksi.,1,1
sudah cukup baik,0,0
"dalam kemudahan mengakses informasi sangat perlu ditingkatkan, karna banyak mahasiswa yang minim informasi tentang layanan dan agar layanan bisa diakses dimanapun dan kapanpun",1,1
-,0,1
-,0,1
Untuk layanan pusat bahasa perbaikan fasilitas Lab. bahasa,0,1
sudah baik,1,0
Tolong lebih dipermudah dan terbuka,1,1
perbaiki lagi layanannya,0,1
