0,lebih diperbaiki lagi ya,0,1
1,semoga lebih bisa diperbaiki lagi yang masih kurang,0,1
2,lebih diperbaiki lagi,0,1
3,lebih di perbaiki,0,0
4,pas esap kayak ngantri sembako,0,1
5,jadilah lebih baik,1,1
6,"sudah baik, alangkah baiknya lebih di informasikan lagi tentang fungsi apa saja yg dapat kita gunakan di layanan pusat bahasa itu",0,1
7,"untuk yang ESAP, kemahalan, ngapain harus jadi member setaun kalo cuma bisa daftar sekali doang, orang matkul nya aja cuma satu kali per semester. klo yang setaun ada b.inggris 2x enak g usah bayar lagi, ini kalo semester 1 ada semester 2 ga ada semestr 3 ada kan jadi harus daftar member lagi..",0,0
8,lbh baik lg kedepan,1,0
9,kurang tahu karena belum kesana,0,1
10,Semoga biaya di pusat bahasa lebih terjangkau,0,1
11,Lebih update lagi dalam pemberitaan,0,1
12,be better,1,1
13,akan lebih baik lagi apabila informasi mengenai layanan pusat bahasa lebih mudah didapatkan,0,1
14,Sebaiknya biaya kursus bahasa asing lebih ringan agar peminatnya dapat meningkat.,0,1
15,lebih baik lagi,1,1
16,wqw bohong semua,1,1
17,fasilitasnya mohon lebih diperhatikan lg,1,0
18,"ditingkatkan lagi, ruang pendaftaran masih kurang memadai",1,1
19,Diharuskan mengambil kursus Bahasa Inggris untuk mendapatkan point tanpa memandang kecerdasan sesungguhnya ? sebaiknya jangan,0,1
20,"sangat nyaman tempatnya, mungkin tahun depan dapat menambahkan ruang discussion room agar tidak antri atau menunggu giliran terlalu lama",0,1
21,tingkatkan lagi agar menjadi lebih baik,0,0
22,-,0,1
23,karetnya,1,1
24,semoga kedepannya bisa lebih baik lagi,0,1
25,Sebaiknya admin  seperti teller bank yang ramah meski sedang banyak orang,0,0
26,sudah lumayan bagus lah,0,1
27,tekankan harga LaC Membership dan paket LaC.,1,1
28,kurang puas karena dari berbagai fakultas dipusatkan di satu tempat sehingga terjadi pengantrian,0,1
29,Diusahakan dalam pembelajaran intensif untuk perbaikan EPRT & ECCT ditingkatkan lagi. Karnea sistemnya terkadang kurang membangun,0,0
30,-,1,1
31,sudah bagus tapi tingkatkan lagi mutu pelayanannya,0,1
32,"semoga lebih baik lagi ,dan menjadi yang terbaik dari universitas lainnya",1,1
33,Lebih disosialisasikan kembali kegiatan ESSAP dll,0,1
34,-,0,0
35,Kurang profesionalisme dan kurang fasilitas yang memadahi serta mentor mentor yang memadahi juga,0,1
36,suka tidak nyaman jika di admin esp suka antri dalam melakukan suatu transaksi.,1,1
37,sudah cukup baik,0,0
38,"dalam kemudahan mengakses informasi sangat perlu ditingkatkan, karna banyak mahasiswa yang minim informasi tentang layanan dan agar layanan bisa diakses dimanapun dan kapanpun",1,1
39,-,0,1
40,-,0,1
41,Untuk layanan pusat bahasa perbaikan fasilitas Lab. bahasa,0,1
42,sudah baik,1,0
43,Tolong lebih dipermudah dan terbuka,1,1
44,perbaiki lagi layanannya,0,1
45,"saran, jika ada jadwal tes mohon mahasiswa di SMS juga agar tidak ada mahasiswa yang ketinggalan informasi",0,1
46,-,0,1
47,pada layanan pusat bahasa beberapa orang ada yang tidak baik dalam melayani kami,1,0
48,diperbaharui alat alat pembanyu nya,1,1
49,-,0,1
50,-,1,1
51,Semoga bisa lebih baik,1,0
52,tingkatkan lagi pelayanan ke mahasiswanya.,0,1
53,-,0,0
54,Mengapa kegiatan dari Pusat Bahasa harus memakan biaya ekstra? Seharusnya digratiskan.,0,0
55,.,0,1
56,lebih memanfaatkan adanya himpunan untuk turun ke mahasiswa,1,1
57,Saran : tingkatkan fasilitas,1,0
58,lebih baik lagi,1,1
59,"sebaiknya diadakan les speaking, pasti diantara beberapa puluh ribumahasiswa/i menginginkan hal tersebut",0,0
60,"Gedung dan informasinya di tingkatkan lagi , karna informasi yg di terima mahasiswa dengan yg di berikan kadang suka sedikit berbeda dan banyak yg simpang siur",1,1
61,-,0,0
62,ruangannya kurang besar,0,0
63,-,0,0
64,untuk konfirmasi kegiatan eprt terlalu sebentar sehingga kadang sulit untuk melakukan konfirmasi,0,0
65,Enggak,0,0
66,Belum pernah,0,0
67,lebih di tiingkatkan lagi dalam layanan bidang pusat bahasa,0,0
68,lebih diperhatikan lagi,0,0
69,memperbanyak buku yg terkait dengan matkul2 dkv,0,0
70,Tingkatkan,0,0
71,baik,1,1
72,harap di tingkatkan,0,0
73,aman,0,0
74,Bagus,1,1
75,syudah bagus,0,0
76,cukup bagus,1,1
77,Semoga pihak layanan pusat bahasa dapat mempertahankan kinerjanya yang bernilai positif dan meningkatkan kinerjanya di masa depan. Terima kasih.,0,0
78,baik,0,0
79,sudah cukup bagus,0,0
80,pusat bahasa baik,0,0
81,Sudah baik,0,0
82,untuk layanan pusat bahasa sudah sangat memuaskan  dan hanya perlu di pertahankan,1,1
83,lebih di tingkatkan lagi untuk mengenalkan tentang pusat bahasa.,0,0
84,sudah baik,0,0
85,"Pelayannan Pusat Bahasa sudah sangat baik, pembelajarannya pun terlihat menyenangkan",0,0
86,Tingkatkan,0,0
87,bagus kedepan smg lebih bagus,0,0
88,Tingkatkan,1,0
89,sudah baik,0,0
90,Sudah cukup baik,1,1
91,sangat mencerminkan budaya bahasa yang daramatis,0,0
92,sudah cukup,0,0
93,sudah bagus dalam bidang layanan pusat bahasa,0,0
94,lebih di tingkatkan lagi,0,0
95,cukup baik,1,1
96,sudah cukup baik,0,0
97,lanjutkan,0,0
98,saya sudah merasa nyaman dengan pengimplementasia layanan yang di berikan pusat bahasa terhadap saya,0,0
99,lanjutkan,0,0
